Name,Price,Delivery_Charge,URL
X515EA-BQ040 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2224763862
,,,
M3500QA-L1073 기간한정 최대 66만 삼성 OLED 세잔 R5 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2039520914
X513EA-BQ031 중복7만|최종56만|i5-11세대 인기노트북 ,"639,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2344068836
FX706HCB-HX144 특가 97만 512GB 8GB RTX3050 게이밍 ,"1,049,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2389020515
LG그램 2022 신제품 17ZD95P-GX76K 162만초특가 노트북 ,"1,740,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2284206179
노트북 플러스2 NT550XDZ-AD5A 가성비 노트북 최종61만 ,"739,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
FX706HEB-HX113 특가 102만 RTX3050Ti 게이밍노트북 ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
17s-cu0015TU 노트북 17형 대화면 가성비 사무용 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
삼성전자 노트북 플러스2 NT550XDZ-AD3A 최종 54만 ,"659,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
삼성 갤럭시 북 NT750XDZ-AM58S 미스틱 실버 ,"750,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
갤럭시북 프로 NT950XDX-G51A 인텔i5 16GB ,"1,499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
Victus 16-e0140AX 노트북 최종82만/한컴/R5/RTX3050 ,"965,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
갤럭시북 NT750XDZ-A51A 1.55kg 대학생 추천 최종 83만 ,"999,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Gaming 3i 15IMH I5 LEGEND PRO DOS/게이밍/최종 69만 ,"806,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 플러스2 NT550XDZ-AD5A WIN10 RAM 16GB - FC ,"846,510",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ThinkPad E14 ITL 20TAS01700 300NIT 최대15%할인 DOS ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Slim3-15ITL 5D 그레이 WIN10 16GB램 마우스 ,"746,990",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
파빌리온 Aero 13-be0143AU 특가67만 R5 초경량노트북 ,"799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG 그램360 12세대 노트북 16TD90Q-GX70K i7 고성능 ,"2,199,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG그램 17Z95P-GA76K NVME 1TB(교체) / 사은품 ,"2,022,170",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
G713RC-HX011 R7 렘브란트 17인치 게이밍 최종 129만대 ,"1,349,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
ASUS 젠북듀오 UX482EAR-KA344W 최종162만 i7/1TB/윈11 ,"1,729,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
그램 16ZD90Q-GX56K 노트북 22년 신제품 ,"1,899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
갤럭시북2 프로 NT950XEE-X71A 203만 마우스+파우치 ,"2,249,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 무상더블UP 레노버 ThinkPad X260 8G SSD 윈10 ,"299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
그램 16ZD90Q-GX5LK 노트북 22년 신제품 ,"1,899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG전자 15Z95P-GA56K i5 WIN11 RAM 16GB  mi ,"2,100,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 플러스2 NT550XDZ-AD1A 화이트 최종39만 가성비 ,"479,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
갤럭시북 NT750XDZ-A71A CPU i7 16GB 고성능 당일출고 ,"1,299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Legion 5i Pro 16ITH i7 STORM 3060/게이밍/최종 164만 ,"1,799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
하이마트  삼성 갤럭시북 인텔 10세대 i7탑재 NT350XCR-A78MW ,"700,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG노트북 15ZD95P-GX56K WIN설치 마우스+패드 HJ ,"1,744,850",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
갤럭시북 프로360 NT950QDY-A51A 139만 SSD256G증정 ,"1,698,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS FX517ZE-HN033 최종134만/12세대/RTX3050Ti/웹캠 ,"1,499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
,,,
오멘 16-b1033TX 특가229만 i7 RTX3070Ti 게이밍노트북 ,"2,499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
LEGION 5 PRO 세잔 16ACH R7 STORM3060 159.만.원/당일 ,"1,684,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Victus 16-e0105AX 최종105만/한컴/R5/RTX3050Ti/512GB ,"1,214,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
LG그램 2022 신제품 14Z95P-GA56K 146만 휴대용 노트북 ,"1,519,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
UM3402YA-KP103 특104만R5-5625U/16GB/NVMe512GB ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Legion Slim 7 15ACH R9 3060 PRO W10P/최종 239만 ,"2,599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
15UD40Q-GX50K 램8GB+NVME256GB 노트북 nana ,"753,410",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
2021 울트라PC 15UD50P-GX50K WIN10 RAM 16GB FC ,"884,010",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Flow Z13 GZ301ZE-LD165W 특236만 12세대 i9/RTX3050Ti ,"2,449,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
EJ LG 울트라PC 15UD50P-GX50K 마우스+패드 증정 ,"796,870",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
갤럭시 북 S NT767XCM-K38 Wi-Fi 전용 최종가 66만 ,"799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ThinkPad E15 G3-20YJ0005KR 세잔 R7 5800U 16G 512G ,"1,169,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG 그램 12세대 노트북 16ZD90Q-EX76K 외장그래픽 탑재 ,"2,299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
ASUS TUF FX506LH-HN002 한정200대 GTX1650/당일출고 ,"845,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS 젠북 UM325UAZ-KG005 최종80만/OLED/R7/16G/512 ,"949,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG그램 17Z90Q-EA76K RTX 2050 / i7 22년형 최종252만 ,"2,729,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS VivoBook 17 X712EA-AU124 /최종71.4만 ,"799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG그램 17ZD90Q-EX76K RTX 2050 / i7 22년형 최종227만 ,"2,399,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
FX517ZM-HN118 인텔12세대/RTX3060/144hz 당일출고 ,"1,649,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS VivoBook Pro 16X N7600PC-L2007 /146.9만+한컴 ,"1,549,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG전자 LG그램 15ZD95P-GX56K  / SSD 512GB 교체 ,"1,481,600",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 플러스2 NT550XDA-K14A 그레이 최종43만 Win11 ,"529,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
비보북 Pro 15 OLED M3500QC-L1085 최종129만/당일발송 ,"1,349,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
ASUS 노트북 D515UA-BQ022 루시엔R5 /SSD256G/최종52만 ,"589,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
K3500PC-L1154 중복8만|최종106만|OLED|RTX3050 ,"1,149,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
아이디어패드 SLIM5-15ALC R5 82LN00J1KR 16GB/256GB ,"699,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
TUF FX506HCB-HN144 특가87만 i5 8GB 512GB RTX3050 ,"949,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Slim3-15ITL 3D 최종40만|인텔 가성비 인기노트북 ,"439,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS TUF F15 FX506HM-HN130 /RTX 3060 /최종가 112만 ,"1,199,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
LG 그램360 12세대 노트북 16T90Q-GA79K 윈도우11 탑재 ,"2,569,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
레노버 아이디어패드 Slim3 14ALC R5 DOS 블루 47만 ,"499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
VICTUS 16-e0144AX 노트북 게이밍 RTX3050Ti ,"1,219,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
X515EA-BQ041 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS 젠북듀오 UX482EGR-KA377W 최종172만 i7/MX450/1T ,"1,829,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
HP VICTUS 16-d1142TX 최종142만/512G업/i7/12th/DDR5 ,"1,599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
그램 16ZD90Q-EX56K 노트북 12세대i5/16G/256G/RTX2050 ,"2,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
V15 GEN2-82KD000UKR 45만 AMD 루시엔 R5 NVME 256GB ,"479,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
젠북 14X OLED UM5401QA-KN029 특가124만 R7/16GB/512 ,"1,299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ThinkBook 15 G3 ACL세잔-21A4004MKR 최종58만 R5/256G ,"649,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
Gaming3i 15IHU i5 3050 가성비 게이밍 노트북 무상UP ,"899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
SLIM5-15ITL Premiere i5 Plus FreeDos 인텔포커스79만 ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 플러스2 NT550XDA-K14A 화이트 최종43만 Win11 ,"529,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS K3500PC-KJ153 104만/i5-11300H/16G/256G/3050 ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
젠북 OLED UX325EA-KG354T 특가99만 WIN10탑재/인텔i7 ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
15s-fq2014TU 노트북 최종74만/한컴/11세대 i5/윈11 ,"799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS ROG G713RM-KH053 렘브란트 단 하루 최종 157만 ,"1,628,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
TUF F17 FX707ZM-HX037 게이밍노트북 12세대 최종156만 ,"1,649,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ASUS 노트북 M513UA-L1284 최종62만/삼성OLED/R5-5500U ,"699,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
G713RM-LL121 게이밍노트북 R7/RTX3060/WQHD 최종169만 ,"1,749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
게이밍 FX517ZR-HQ009 특가196만 RTX3070/인텔12세대i7 ,"2,049,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
