Name,Price,Deliver_Charge,URL
X515EA-BQ040 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",,http://item.gmarket.co.kr/Item?goodscode=2375815018
M3500QA-L1073 중복 8만 카드 3만 최종63만 삼성 OLED ,"749,000",,http://item.gmarket.co.kr/Item?goodscode=2389963658
,,,
X513EA-BQ031 중복7만|최종56만|i5-11세대 인기노트북 ,"639,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 2022 신제품 17ZD95P-GX76K 153만초특가 노트북 ,"1,740,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
삼성 갤럭시 북 NT750XDZ-AM58S 미스틱 실버 ,"750,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
17s-cu0015TU 노트북 17형 대화면 가성비 사무용 ,"749,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD5A 가성비 노트북 최종61만 ,"739,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
삼성전자 노트북 플러스2 NT550XDZ-AD3A 최종 54만 ,"659,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
갤럭시북 NT750XDZ-A51A 1.55kg 대학생 추천 최종 83만 ,"999,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Gaming 3i 15IMH I5 LEGEND PRO DOS/게이밍/최종 69만 ,"806,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS K3500PC-KJ153 104만/i5-11300H/16G/256G/3050 ,"1,099,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD5A WIN10 RAM 16GB - FC ,"846,350",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
갤럭시북 프로 NT950XDX-G51A 인텔i5 16GB ,"1,499,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS노트북 FX707ZC-HX035 12th코어i7/DDR5 8G/RTX3050 ,"1,399,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 무상더블UP 레노버 ThinkPad X260 8G SSD 윈10 ,"299,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
게이밍 FX517ZR-HQ009 특가196만 RTX3070/인텔12세대i7 ,"2,049,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
V15 GEN2-82KD000UKR 45만 AMD 루시엔 R5 NVME 256GB ,"478,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS ROG G713RM-KH053 라이젠 5세대+주사율360Hz ,"1,699,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
아이디어패드 SSD256+HDD1TB 무상UP 최종53만 L3-15ITL ,"567,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG전자 LG그램 15ZD95P-GX56K / 재고보유 / 당일발송 ,"1,440,700",,http://item.gmarket.co.kr/Item?goodscode=1849912134
nf/ 삼성 NT950XDY-A51A(실버) 윈도우10 설치 ,"1,289,500",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
,,,
LG 그램360 12세대 노트북 16TD90Q-GX70K i7 고성능 ,"2,199,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
LG그램 12세대 17ZD90Q-GX56K 대학생노트북 최종 193만 ,"1,999,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Flow Z13 GZ301ZE-LC032W 특251만 12세대 i9/RTX3050Ti ,"2,599,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
V15 ADA AMD 라이젠5 82C700KMKR RAM8GB로 무상업/40만 ,"449,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
15Z95P-GA56K 램16GB+NVME512GB 노트북 ,"1,580,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
15UD40Q-GX50K 램8GB+NVME256GB 노트북 nana ,"802,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
갤럭시북2 프로 NT950XEE-X71A 단2일 특가203만 ,"2,249,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS 노트북 D515UA-BQ022 루시엔R5 /SSD256G/최종53만 ,"599,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
하이마트  삼성 갤럭시북 인텔 10세대 i7탑재 NT350XCR-A78MW ,"700,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
VICTUS 16-e0144AX 노트북 게이밍 RTX3050Ti ,"1,219,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD1A 화이트 최종39만 가성비 ,"479,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
그램 16ZD90Q-GX5LK 노트북 22년 신제품 ,"1,899,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 2022 신제품 15ZD95P-GX56K 120만초특가 노트북 ,"1,388,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
파빌리온 Aero 13-be0176AU 특가 69만 CPU 무상 업글 ,"784,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
맥북에어 13형 256GB Space Gray (MGN63KH/A) ,"1,290,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
파빌리온 Aero 13-be0143AU 특가67만 R5 초경량노트북 ,"799,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS TUF FX506LH-HN002 한정200대 GTX1650/당일출고 ,"845,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LEGION 5 Pro 16ACH R7 STORM 3060 DOS/최종 149만 ,"1,678,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
,,,
LG그램 12세대 17ZD90Q-EX56K i5 RTX2050 최종가 208만 ,"2,199,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
그램 16ZD90Q-GX56K 노트북 22년 신제품 ,"1,899,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
아이디어패드 SLIM5-15ALC R5 82LN00J1KR 16GB/256GB ,"699,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
ASUS 노트북 M513UA-L1284 최종62만/삼성OLED/R5-5500U ,"699,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS TUF F15 FX506HM-HN130 /RTX 3060 /최종가 112만 ,"1,199,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 17Z95P-GA76K NVME 1TB(교체) / 사은품 ,"2,022,170",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS 젠북듀오 UX482EGR-KA377W 최종159만 i7/MX450/1T ,"1,779,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ThinkPad E14 ITL 20TAS01700 300NIT 최대15%할인 DOS ,"849,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS FX517ZE-HN033 최종141만/12세대/RTX3050Ti/웹캠 ,"1,499,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
Flow Z13 GZ301ZE-LD165W 특236만 i9/3050Ti 재고입고 ,"2,449,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
레노버 아이디어패드 Slim3 14ALC R5 DOS 블루 47만 ,"499,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDA-K14A 그레이 최종43만 Win11 ,"529,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG 그램360 12세대 노트북 16T90Q-GA79K 윈도우11 탑재 ,"2,569,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
갤럭시북 NT750XDZ-A71A SSD 더블업 이벤트 당일출고 ,"1,299,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS VivoBook Pro 16X N7600PC-L2007 /146.9만+한컴 ,"1,549,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LEGION 5 PRO 세잔 16ACH R7 STORM3060 159.만.원/당일 ,"1,684,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
,,,
젠북 14X OLED UM5401QA-KN029 특가124만 R7/16GB/512 ,"1,299,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
비보북 Pro 15 OLED M3500QC-L1085 최종129만/당일발송 ,"1,349,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
FX517ZM-HN118 인텔12세대/RTX3060/144hz 당일출고 ,"1,649,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ThinkBook 15 G3 ACL세잔-21A4004MKR 최종58만 R5/256G ,"649,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
EJ LG 울트라PC 15UD50P-GX50K 마우스+패드 증정 ,"797,210",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG 그램 12세대 노트북 16ZD90Q-EX76K 외장그래픽 탑재 ,"2,299,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
2021 울트라PC 15UD50P-GX50K WIN10 RAM 16GB FC ,"883,800",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
TUF FX506HCB-HN144 특가87만 i5 8GB 512GB RTX3050 ,"949,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
LG그램 17ZD90Q-EX76K RTX 2050 / i7 22년형 최종227만 ,"2,399,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Legion 5i Pro 16ITH i7 STORM 3060/게이밍/최종 159만 ,"1,754,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG전자 LG그램 15ZD95P-GX56K  / SSD 512GB 교체 ,"1,478,400",,http://item.gmarket.co.kr/Item?goodscode=1849912134
X515EA-BQ041 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
K3500PC-L1154 중복8만|최종106만|OLED|RTX3050 ,"1,149,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
HP VICTUS 16-d1142TX 최종142만/512G업/i7/12th/DDR5 ,"1,599,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
15s-fq2014TU 노트북 최종74만/한컴/11세대 i5/윈11 ,"799,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDA-K14A 화이트 최종43만 Win11 ,"529,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Victus 16-e0140AX 노트북 최종82만/한컴/R5/RTX3050 ,"965,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
FX706HCB-HX144 중복 7만 카드4만 최종 93만 RTX3050 ,"1,049,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
FX706HEB-HX113 중복 7만 카드 5만 최종97만 RTX3050Ti ,"1,099,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 17Z90Q-EA76K RTX 2050 / i7 22년형 최종252만 ,"2,729,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Gaming3i 15IHU i5 3050 가성비 게이밍 노트북 무상UP ,"899,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Slim3-15ITL 3D 최종40만|인텔 가성비 인기노트북 ,"439,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
SLIM5-15ITL Premiere i5 Plus FreeDos 인텔포커스79만 ,"849,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
젠북 OLED UX325EA-KG354T 특가99만 WIN10탑재/인텔i7 ,"1,099,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
그램 16ZD90Q-EX56K 노트북 12세대i5/16G/256G/RTX2050 ,"2,099,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
TUF F17 FX707ZM-HX037 게이밍노트북 12세대 최종156만 ,"1,649,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
